page_id,url_slug,primary_keyword,h1_title,meta_description,target_search_intent,min_word_count,faq_count,cta_text,priority,status
L001,nabh-programmes-comparison,NABH programmes comparison HCO SHCO ECO,NABH accreditation programmes — HCO vs SHCO vs ECO vs ELC,"Compare all NABH accreditation programmes: HCO Full, SHCO Full, ECO Full, and Entry Level. Which programme is right for your hospital?",informational,800,5,Find your NABH programme on AccredReady,1,built
L002,nabh-hco-oe-count,NABH HCO 6th edition OE count,How many OEs in NABH HCO 6th edition,"NABH HCO 6th Edition OE count breakdown by chapter. Do not publish specific counts in public SEO — app shows live data.",informational,600,4,Track your NABH compliance on AccredReady,2,skip
L003,nabh-accreditation-timeline,how long does NABH accreditation take,How long does NABH accreditation take in India,"NABH full accreditation takes 9–18 months depending on hospital size. Entry Level takes 3–6 months. Real timelines from 50+ accreditations.",informational,700,5,Start your NABH preparation today,3,built
L004,nabh-6th-edition-changes,NABH 6th edition changes from 5th,What changed in NABH 6th edition HCO standards,"Key changes in NABH HCO 6th Edition vs 5th Edition: new CORE OEs, updated FMS chapter, digital health requirements. Full comparison.",informational,900,5,Check your 6th edition readiness,4,not_built
L005,nabh-assessment-preparation,how to prepare for NABH assessment,How to prepare for NABH assessment — a quality manager guide,"Practical NABH assessment preparation guide from a practicing Quality Manager. What assessors check, common failures, and how to pass.",informational,1000,6,Run your gap analysis on AccredReady,5,not_built
L006,nabh-gap-analysis,NABH gap analysis checklist,How to do a NABH gap analysis for your hospital,"Step-by-step NABH gap analysis guide: how to score OEs, identify CORE gaps, prioritise by chapter. Download free checklist.",informational,800,5,Do your gap analysis free on AccredReady,6,built
L007,nabh-committee-formation,NABH mandatory committees list,NABH mandatory committees — formation guide,"Complete list of NABH mandatory committees, their composition, meeting frequency, and documentation requirements.",informational,900,6,Track committees with AccredReady,7,built_root
L008,nabh-kpi-tracking,NABH quality indicators KPI,NABH mandatory KPIs — quality indicators explained,"NABH quality indicators explained with formulas, sampling methods, and benchmarks. Hospital-wide and department-specific indicators.",informational,1000,6,Track KPIs automatically on AccredReady,8,built
L009,nabh-shco-standards,NABH SHCO standards guide,NABH SHCO accreditation — complete guide for small hospitals,"NABH SHCO Full accreditation guide for small healthcare organizations. SHCO 3rd Edition standards, assessment process.",informational,800,5,Start SHCO compliance on AccredReady,9,built
L010,nabh-eco-certification,NABH ECO accreditation,NABH ECO accreditation — eye care organization standards,"NABH ECO Full certification guide: eye care-specific chapters, mandatory KPIs for eye care organizations.",informational,700,4,Track ECO compliance on AccredReady,10,built
