id,tier,source,state,city,hospital_name,contact_role,email,phone,website_source,notes
P0001,A,PMJAY_PRIVATE,Arunachal Pradesh,Anjaw,"Khaliko Pul Memorial District Hospital Hayuliang 9612313136 drkishoreksingh@gmail.com General Medicine,Treatment Procedu",Hospital admin / nodal (private),drkishoreksingh@gmail.com,9612313136,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0002,A,PMJAY_PRIVATE,Arunachal Pradesh,Papum,PARE Nigla health care Hospital 8974360490 bumerxp786@gmail.com,Hospital admin / nodal (private),bumerxp786@gmail.com,8974360490,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0003,A,PMJAY_PRIVATE,Arunachal Pradesh,Papum,PARE Tomo Riba Institute Of Health And Medical Sciences 7587451688 cmsashnlg2013@gmail.com,Hospital admin / nodal (private),cmsashnlg2013@gmail.com,7587451688,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0004,A,PMJAY_PRIVATE,Assam,Cachar,JEEVAN JYOTI HEALTH CARE & RESEARCH CENTRE PVT. LTD. 7635971570 ayushman@jjhealthcare.in,Hospital admin / nodal (private),ayushman@jjhealthcare.in,7635971570,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0005,A,PMJAY_PRIVATE,Assam,Dibrugarh,J.J. Memorial Diagnostics & Hospitals Pvt Ltd 6003289568 rajiblovervideo@gmail.com,Hospital admin / nodal (private),rajiblovervideo@gmail.com,6003289568,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0006,A,PMJAY_PRIVATE,Assam,Dibrugarh,"Srishti Hospitals And Research Centre Private Limited 8474897408 mail@srishtihospital.com Nephrology,Cardiology,General ",Hospital admin / nodal (private),mail@srishtihospital.com,8474897408,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0007,A,PMJAY_PRIVATE,Assam,Goalpara,"Life Care Hospital Rcs Ltd. 9706353751 shahidsi49@gmail.com General Surgery,ENT,General Medicine,Paediatrics,Obstetrics ",Hospital admin / nodal (private),shahidsi49@gmail.com,9706353751,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0008,A,PMJAY_PRIVATE,Assam,Goalpara,Solace Hospital & Research Centre (P) Ltd. 9127010768 solacehospital@aol.in,Hospital admin / nodal (private),solacehospital@aol.in,9127010768,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0009,A,PMJAY_PRIVATE,Assam,Golaghat,G.B.M Nursing Home 9101956924 bordoloidr.dijen@gmail.com,Hospital admin / nodal (private),bordoloidr.dijen@gmail.com,9101956924,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
P0010,A,PMJAY_PRIVATE,Assam,Hojai,STAR HEALTH CARE HOSPITAL AND R C 8167299952 pintu.pcs@gmail.com,Hospital admin / nodal (private),pintu.pcs@gmail.com,8167299952,,Private/multispecialty from PMJAY empanelment — ask for Quality/NABH desk
